country,year,population
New Zealand,1996,312240
New Zealand,1997,320660
New Zealand,1998,328280
New Zealand,1999,345660
New Zealand,2000,365060
New Zealand,2001,389600
New Zealand,2002,402380
New Zealand,2003,409500
New Zealand,2004,413980
New Zealand,2005,423550
New Zealand,2006,437890
New Zealand,2007,458020
New Zealand,2008,483660
New Zealand,2009,504440
New Zealand,2010,517780
New Zealand,2011,543950
New Zealand,2012,569630
New Zealand,2013,585390
New Zealand,2014,583660
New Zealand,2015,575430
New Zealand,2016,568170
New Zealand,2017,572250
New Zealand,2018,577490
New Zealand,2019,582850
New Zealand,2020,584490
New Zealand,2021,584010
New Zealand,2022,586080
New Zealand,2023,598500
New Zealand,2024,617590
New Zealand,2025,637680
England,1996,956680
England,1997,950310
England,1998,943870
England,1999,937060
England,2000,931450
England,2001,927630
England,2002,922690
England,2003,920680
England,2004,922670
England,2005,925900
England,2006,939260
England,2007,953270
England,2008,968350
England,2009,980380
England,2010,985090
England,2011,991040
England,2012,1004520
England,2013,1012780
England,2014,1010970
England,2015,1006540
England,2016,1002060
England,2017,999230
England,2018,994330
England,2019,988890
England,2020,986210
England,2021,973950
England,2022,961650
England,2023,961590
England,2024,965140
England,2025,970950
Vietnam,1996,158740
Vietnam,1997,161910
Vietnam,1998,163020
Vietnam,1999,163800
Vietnam,2000,163700
Vietnam,2001,163490
Vietnam,2002,166120
Vietnam,2003,169720
Vietnam,2004,171980
Vietnam,2005,174440
Vietnam,2006,178010
Vietnam,2007,182720
Vietnam,2008,189480
Vietnam,2009,197820
Vietnam,2010,203770
Vietnam,2011,207620
Vietnam,2012,212140
Vietnam,2013,219940
Vietnam,2014,228530
Vietnam,2015,235590
Vietnam,2016,243220
Vietnam,2017,251940
Vietnam,2018,259720
Vietnam,2019,268070
Vietnam,2020,275920
Vietnam,2021,274840
Vietnam,2022,282030
Vietnam,2023,299620
Vietnam,2024,318800
Vietnam,2025,326630
Philippines,1996,104820
Philippines,1997,106450
Philippines,1998,107620
Philippines,1999,110190
Philippines,2000,112180
Philippines,2001,114260
Philippines,2002,118360
Philippines,2003,123300
Philippines,2004,128610
Philippines,2005,134580
Philippines,2006,141890
Philippines,2007,151190
Philippines,2008,163040
Philippines,2009,175020
Philippines,2010,183770
Philippines,2011,193030
Philippines,2012,206110
Philippines,2013,218870
Philippines,2014,230190
Philippines,2015,241130
Philippines,2016,252690
Philippines,2017,265300
Philippines,2018,276890
Philippines,2019,294160
Philippines,2020,308380
Philippines,2021,308240
Philippines,2022,320430
Philippines,2023,363020
Philippines,2024,393870
Philippines,2025,412530
China,1996,118640
China,1997,128820
China,1998,132080
China,1999,138230
China,2000,144690
China,2001,153360
China,2002,169990
China,2003,187450
China,2004,205200
China,2005,227600
China,2006,251960
China,2007,278320
China,2008,313030
China,2009,344980
China,2010,371550
China,2011,387420
China,2012,406390
China,2013,432400
China,2014,466510
China,2015,508870
China,2016,557690
China,2017,604180
China,2018,645120
China,2019,661460
China,2020,638990
China,2021,584660
China,2022,597680
China,2023,655130
China,2024,699640
China,2025,731540
India,1996,80470
India,1997,83280
India,1998,84730
India,1999,86330
India,2000,90680
India,2001,98070
India,2002,108270
India,2003,119430
India,2004,132790
India,2005,148960
India,2006,169720
India,2007,204440
India,2008,251200
India,2009,307590
India,2010,329510
India,2011,337120
India,2012,355380
India,2013,378480
India,2014,411240
India,2015,449040
India,2016,489410
India,2017,538320
India,2018,593270
India,2019,665400
India,2020,724060
India,2021,712040
India,2022,754220
India,2023,847530
India,2024,916020
India,2025,971020
Nepal,1996,1410
Nepal,1997,1520
Nepal,1998,1640
Nepal,1999,1760
Nepal,2000,2000
Nepal,2001,2440
Nepal,2002,2710
Nepal,2003,3020
Nepal,2004,3370
Nepal,2005,3830
Nepal,2006,4350
Nepal,2007,7980
Nepal,2008,14960
Nepal,2009,24820
Nepal,2010,27200
Nepal,2011,27810
Nepal,2012,30730
Nepal,2013,34750
Nepal,2014,42900
Nepal,2015,50150
Nepal,2016,58980
Nepal,2017,73920
Nepal,2018,94970
Nepal,2019,119060
Nepal,2020,132400
Nepal,2021,130290
Nepal,2022,151260
Nepal,2023,179230
Nepal,2024,197340
Nepal,2025,213580
South Africa,1996,61810
South Africa,1997,66130
South Africa,1998,69370
South Africa,1999,74760
South Africa,2000,80650
South Africa,2001,86820
South Africa,2002,95140
South Africa,2003,101440
South Africa,2004,108410
South Africa,2005,114150
South Africa,2006,119490
South Africa,2007,127570
South Africa,2008,138260
South Africa,2009,150690
South Africa,2010,155950
South Africa,2011,161590
South Africa,2012,167630
South Africa,2013,172170
South Africa,2014,174930
South Africa,2015,177390
South Africa,2016,180480
South Africa,2017,185600
South Africa,2018,189740
South Africa,2019,195140
South Africa,2020,200890
South Africa,2021,202730
South Africa,2022,206810
South Africa,2023,215070
South Africa,2024,224280
South Africa,2025,229950
