year,total_population,overseas_born_population,australian_born_population,overseas_born_percent
1996,18224770,4240050,13984720,23.27
1997,18423040,4294200,14128840,23.31
1998,18607580,4310210,14297370,23.16
1999,18812260,4345300,14466970,23.1
2000,19028800,4385700,14643100,23.05
2001,19274700,4452360,14822350,23.1
2002,19495210,4550690,14944520,23.34
2003,19720740,4655500,15065240,23.61
2004,19932720,4752950,15179770,23.84
2005,20176840,4877090,15299750,24.17
2006,20450970,5031630,15419340,24.6
2007,20827620,5233250,15594370,25.13
2008,21249200,5477900,15771300,25.78
2009,21691650,5729890,15961770,26.42
2010,22031750,5881360,16150390,26.69
2011,22340020,6018180,16321840,26.94
2012,22733470,6214010,16519460,27.33
2013,23128130,6408740,16719390,27.71
2014,23475690,6570230,16905450,27.99
2015,23816000,6729730,17086270,28.26
2016,24190910,6911340,17279570,28.57
2017,24592590,7142040,17450550,29.04
2018,24963260,7346510,17616740,29.43
2019,25334830,7549660,17785170,29.8
2020,25649250,7672450,17976790,29.91
2021,25685410,7525870,18159540,29.3
2022,26018720,7684950,18333780,29.54
2023,26659920,8186580,18473340,30.71
2024,27194290,8575270,18619020,31.53
2025,27613650,8833710,18779950,31.99
